City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,24,10,23,0.57,6,56,43,6
阿克苏地区,83,19,53,0.3,6,146,138,2
阿拉善盟,113,31,66,0.43,9,206,173,12
阿勒泰地区,44,2,20,0.35,6,93,87,9
阿里地区,63,13,31,0.6,4,126,114,7
安康,43,30,42,0.57,25,59,65,5
安庆,54,24,55,0.6,10,98,93,8
鞍山,35,19,34,0.69,17,74,69,5
安顺,37,9,14,0.57,6,65,72,6
安阳,46,32,43,2.28,38,58,61,7
白城,76,55,58,0.6,6,89,80,5
百色,61,25,60,0.9,13,109,112,11
白山,38,15,34,0.95,20,63,75,11
白银,76,9,26,0.6,11,125,129,8
保定,63,28,35,0.52,23,109,114,5
宝鸡,41,15,40,0.48,19,88,69,2
保山,37,8,36,0.55,7,73,64,7
包头,102,27,60,0.72,24,149,161,21
巴彦淖尔,103,27,72,0.37,11,137,162,4
巴中,25,10,18,0.63,10,44,49,2
北海,29,8,19,0.75,9,58,57,7
北京,58,40,48,0.77,30,76,80,2
蚌埠,78,57,83,0.57,25,55,67,6
本溪,30,10,29,0.82,12,50,48,9
毕节,36,4,10,0.65,4,83,71,6
滨州,45,7,18,0.5,10,93,88,8
博州,61,9,32,0.3,5,125,111,5
亳州,22,4,21,0.65,15,46,37,7
沧州,33,20,31,0.17,25,59,64,11
长春,33,12,27,0.6,20,63,65,3
常德,41,5,14,0.66,5,87,80,8
昌都,38,16,0,0.8,13,54,75,8
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,71,18,40,1.45,31,0,124,27
长沙,71,19,36,0.59,12,131,124,6
常熟,80,24,42,0.63,25,130,134,14
长治,48,17,22,0.68,21,100,94,6
常州,45,29,40,0.86,57,44,89,11
朝阳,37,12,26,0.57,9,78,73,6
潮州,37,8,36,0.87,5,81,61,10
承德,98,60,92,1.65,26,124,156,5
成都,32,10,18,0.68,23,57,63,6
郴州,36,7,26,0.9,13,82,71,16
赤峰,72,44,90,0.68,34,95,125,13
池州,64,24,30,0.53,17,111,115,7
重庆,76,25,43,0.88,26,139,130,6
崇左,49,10,48,0.6,10,51,68,4
楚雄州,27,6,10,0.45,6,56,53,6
滁州,65,33,60,0.6,24,87,116,9
大连,45,16,31,0.62,11,78,89,5
大理州,28,4,22,0.65,16,48,54,4
丹东,32,13,31,0.57,15,50,62,11
大庆,39,27,37,0.74,18,76,65,7
大同,72,18,31,0.68,17,126,125,43
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,34,7,15,0.5,7,70,67,4
达州,35,19,33,0.5,23,83,68,9
德宏州,26,10,15,0.55,12,41,50,13
德阳,28,6,20,0.63,11,52,55,4
德州,51,30,50,0.57,9,89,73,12
定西,81,22,36,0.2,6,120,136,3
迪庆州,34,2,13,0.7,6,74,66,10
东莞,36,12,25,0.43,14,51,71,4
东营,45,10,26,0.23,10,99,89,6
鄂尔多斯,100,20,57,0.62,13,173,159,8
恩施州,31,13,22,0.85,11,79,61,6
鄂州,46,11,36,0.87,26,73,91,2
防城港,24,14,15,0.73,10,43,47,7
佛山,49,16,21,0.53,23,48,97,3
抚顺,37,14,34,0.67,19,65,72,12
阜新,38,20,31,0.4,12,82,74,5
阜阳,12,5,9,0.4,22,14,14,10
富阳,38,18,36,0.6,30,58,74,6
福州,38,9,16,0.4,7,47,74,5
抚州,32,4,17,0.5,5,69,63,5
甘南州,67,11,15,0.4,12,110,119,10
赣州,42,23,31,1.4,10,94,82,10
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,37,8,14,0.4,9,78,73,9
广安,44,19,35,0.7,9,82,87,7
广元,33,8,11,0.73,22,59,64,11
广州,41,14,31,0.59,37,58,80,5
贵港,46,21,37,0.53,9,99,91,9
桂林,45,14,28,0.53,9,86,88,5
贵阳,29,6,22,0.4,18,50,56,3
果洛州,75,17,20,0.3,7,137,128,8
固原,83,5,27,0.57,8,133,138,6
哈尔滨,37,16,36,0.65,35,64,59,5
海北州,53,13,0,1.1,5,107,102,17
海东地区,79,0,0,1.2,10,142,133,8
海口,21,6,20,0.5,9,39,38,4
海门,68,21,40,0.57,19,94,120,7
海南州,56,16,20,1.0,6,106,106,9
海西州,67,12,12,0.7,11,119,119,21
哈密地区,55,22,34,0.75,28,112,104,4
邯郸,70,41,88,0.87,30,82,57,5
杭州,72,21,33,0.65,29,77,125,6
汉中,43,22,29,0.63,9,85,84,3
鹤壁,43,25,42,0.97,19,89,74,13
河池,39,12,38,0.6,7,63,59,6
合肥,58,21,35,0.62,15,82,108,3
鹤岗,35,20,34,0.5,19,26,31,6
黑河,38,9,22,0.57,8,101,74,6
衡水,42,29,40,0.4,27,52,78,6
衡阳,50,17,37,0.58,14,89,98,9
和田地区,91,22,129,0.2,5,127,100,7
河源,23,16,0,0.85,17,27,36,5
菏泽,43,25,42,0.8,21,78,72,7
贺州,39,13,16,0.55,6,71,77,9
红河州,37,4,10,0.4,3,75,73,7
淮安,75,54,82,0.66,16,43,38,6
淮北,20,7,19,0.93,24,34,37,7
怀化,46,9,45,1.02,4,71,76,3
淮南,40,28,38,0.57,12,46,74,14
黄冈,56,11,34,0.7,18,100,106,6
黄南州,49,9,24,0.9,5,100,97,15
黄山,24,7,18,0.5,12,34,46,10
黄石,37,16,27,0.58,25,57,73,8
呼和浩特,93,33,50,1.0,15,171,150,12
惠州,25,7,18,0.48,12,40,49,7
葫芦岛,44,17,26,0.55,9,91,86,3
呼伦贝尔,42,4,14,0.2,7,88,82,2
湖州,74,53,71,0.89,54,68,95,13
佳木斯,22,10,21,0.42,15,55,42,3
吉安,43,9,24,0.48,6,86,84,7
江门,42,16,25,0.53,13,59,83,7
江阴,105,24,38,1.1,63,68,164,9
胶南,27,12,20,0.4,52,17,40,6
胶州,19,5,13,0.3,16,33,37,5
焦作,67,45,82,0.83,15,84,85,6
嘉兴,83,23,39,0.67,19,127,138,5
嘉峪关,98,6,44,0.7,13,168,156,23
揭阳,30,10,20,0.7,7,67,58,6
吉林,40,13,25,0.64,17,74,79,5
即墨,26,1,7,0.35,14,44,50,3
济南,52,22,51,0.49,26,90,83,4
金昌,82,6,12,0.2,7,153,137,6
晋城,57,30,62,1.48,43,63,89,13
景德镇,48,20,31,0.76,3,94,94,16
荆门,56,34,59,0.82,21,43,36,8
荆州,26,10,22,0.9,16,52,51,4
金华,56,20,32,0.37,16,78,106,6
济宁,31,11,15,0.47,12,73,61,6
金坛,91,16,32,0.75,32,69,147,8
